Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score_Total,Segmento,Customer Name,Customer Age,Gender,Churn
90,0,6,14780,3,2,2,7,Leales y Activos,Jessica Rodriguez,27,Female,1
91,91,6,14816,3,2,2,7,Leales y Activos,Joseph May,54,Male,0
92,263,3,11784,2,1,2,5,Leales y Activos,Michele Johnson,58,Female,0
93,297,3,10025,1,1,1,3,Clientes Dormidos / En Riesgo,Michael Lopez,51,Male,0
94,87,6,15378,3,2,2,7,Leales y Activos,Dr. Amanda Lindsey,38,Male,0
95,108,4,9736,3,1,1,5,Leales y Activos,Ashley Smith,63,Male,0
96,1,7,22981,3,3,3,9,Campeones / VIP,Sonya Petersen,25,Female,0
97,233,3,6636,2,1,1,4,Clientes Dormidos / En Riesgo,Todd Skinner,33,Female,1
98,221,6,20950,2,2,3,7,Leales y Activos,John Sexton,55,Female,1
99,659,4,11211,1,1,2,4,Clientes Dormidos / En Riesgo,Rachel Evans,34,Male,0
100,22,8,19950,3,3,3,9,Campeones / VIP,Maurice Miller,20,Female,0
101,121,8,27360,2,3,3,8,Campeones / VIP,Kimberly Hoffman,58,Male,0
102,963,1,1259,1,1,1,3,Clientes Dormidos / En Riesgo,Christina Nelson,18,Female,0
103,88,7,24077,3,3,3,9,Campeones / VIP,Jordan Shields,59,Male,0
104,541,4,13848,1,1,2,4,Clientes Dormidos / En Riesgo,Tasha Davis DVM,31,Male,0
105,214,4,7530,2,1,1,4,Clientes Dormidos / En Riesgo,Kimberly Chapman,30,Male,1
106,55,3,8311,3,1,1,5,Leales y Activos,Kimberly Scott,24,Male,0
107,300,4,8393,1,1,1,3,Clientes Dormidos / En Riesgo,Justin Romero,44,Male,0
108,261,11,31386,2,3,3,8,Campeones / VIP,Kristin Harrison,53,Male,0
109,107,5,18510,3,2,3,8,Campeones / VIP,Wendy West,60,Female,0
110,458,3,3558,1,1,1,3,Clientes Dormidos / En Riesgo,Nicholas Johnson,42,Male,0
111,321,5,9692,1,2,1,4,Clientes Dormidos / En Riesgo,Janice Rivera,57,Female,1
112,559,2,4378,1,1,1,3,Clientes Dormidos / En Riesgo,Matthew Wilson,67,Female,0
113,331,4,7328,1,1,1,3,Clientes Dormidos / En Riesgo,Linda Thompson,39,Female,0
114,694,5,11568,1,2,2,5,Leales y Activos,Thomas Olsen,27,Male,0
115,198,7,13470,2,3,2,7,Leales y Activos,Julie Sanchez,21,Male,0
116,35,4,11725,3,1,2,6,Leales y Activos,Brooke Kelly,55,Female,0
117,28,6,22130,3,2,3,8,Campeones / VIP,Mary Little,49,Male,0
118,212,6,17754,2,2,3,7,Leales y Activos,Jason Luna,65,Male,0
119,434,6,18014,1,2,3,6,Leales y Activos,Michael Martin,49,Male,0
120,258,5,10470,2,2,2,6,Leales y Activos,Richard Baker,29,Female,0
121,498,5,13615,1,2,2,5,Leales y Activos,Justin Beard,28,Male,0
122,141,5,18104,2,2,3,7,Leales y Activos,William Wilson,18,Male,0
123,26,3,12829,3,1,2,6,Leales y Activos,Brian Russell,64,Male,0
124,707,2,2308,1,1,1,3,Clientes Dormidos / En Riesgo,Katie Ballard,44,Female,0
125,36,6,17497,3,2,3,8,Campeones / VIP,Matthew Harrell,46,Female,0
126,613,3,12680,1,1,2,4,Clientes Dormidos / En Riesgo,Taylor Williams,40,Female,0
127,951,1,3872,1,1,1,3,Clientes Dormidos / En Riesgo,Crystal Gonzalez,62,Male,0
128,381,2,3931,1,1,1,3,Clientes Dormidos / En Riesgo,Rachel Sloan,67,Male,0
129,192,6,14527,2,2,2,6,Leales y Activos,Miss Elizabeth Pugh DDS,60,Female,1
130,164,4,15849,2,1,2,5,Leales y Activos,Ashley Wilson,37,Female,0
131,542,4,6668,1,1,1,3,Clientes Dormidos / En Riesgo,Carla White,63,Male,1
132,244,3,10091,2,1,1,4,Clientes Dormidos / En Riesgo,Susan Werner,22,Male,0
133,6,8,25725,3,3,3,9,Campeones / VIP,Janice Stout,61,Male,1
134,185,4,12344,2,1,2,5,Leales y Activos,Nicholas Clark,69,Male,0
135,252,6,13476,2,2,2,6,Leales y Activos,Joseph Smith,35,Female,0
136,369,8,22890,1,3,3,7,Leales y Activos,Ashlee Kelly,25,Female,0
137,494,8,24134,1,3,3,7,Leales y Activos,Brenda Jones,66,Male,0
138,231,2,2907,2,1,1,4,Clientes Dormidos / En Riesgo,Nicholas Shaw,19,Male,0
139,66,7,15036,3,3,2,8,Campeones / VIP,Angela Cook,21,Female,1
140,136,3,8230,2,1,1,4,Clientes Dormidos / En Riesgo,Richard Perez,55,Male,0
141,328,9,26395,1,3,3,7,Leales y Activos,Daniel Mccoy,41,Male,0
142,465,2,4184,1,1,1,3,Clientes Dormidos / En Riesgo,Mr. Jerome Davis DDS,43,Female,0
143,178,8,22505,2,3,3,8,Campeones / VIP,Mark Wright,50,Female,0
144,52,6,17553,3,2,3,8,Campeones / VIP,Holly Ponce,40,Female,0
145,142,10,26432,2,3,3,8,Campeones / VIP,Keith Lara,48,Male,0
146,793,2,9457,1,1,1,3,Clientes Dormidos / En Riesgo,Daniel Branch,23,Female,1
147,146,7,14477,2,3,2,7,Leales y Activos,Selena Perez,49,Male,0
148,73,2,6506,3,1,1,5,Leales y Activos,Zachary Williams,24,Female,0
149,201,6,17913,2,2,3,7,Leales y Activos,Dustin Blair,40,Male,0
150,21,1,1743,3,1,1,5,Leales y Activos,Stephanie Morris,68,Male,0
151,66,8,10760,3,3,2,8,Campeones / VIP,Jacob Walker,49,Female,0
152,269,4,14097,2,1,2,5,Leales y Activos,Vanessa Vasquez,47,Male,1
153,399,7,18398,1,3,3,7,Leales y Activos,Antonio Foster,53,Female,0
154,8,11,31167,3,3,3,9,Campeones / VIP,Amy Smith,56,Male,0
155,28,6,17420,3,2,3,8,Campeones / VIP,Jennifer Brown,70,Male,0
156,113,5,16715,2,2,3,7,Leales y Activos,Heather Thompson,60,Male,0
157,43,8,23819,3,3,3,9,Campeones / VIP,Henry Campos,31,Male,0
158,338,4,7295,1,1,1,3,Clientes Dormidos / En Riesgo,Hannah Briggs,70,Female,0
159,82,3,4391,3,1,1,5,Leales y Activos,Joshua Huff,35,Male,0
160,902,2,8840,1,1,1,3,Clientes Dormidos / En Riesgo,Tracey Brown,41,Male,0
161,67,5,18246,3,2,3,8,Campeones / VIP,Nicholas Howell,69,Female,0
162,976,4,13299,1,1,2,4,Clientes Dormidos / En Riesgo,Denise Sims,55,Male,0
163,643,4,9704,1,1,1,3,Clientes Dormidos / En Riesgo,Olivia Brown,21,Female,0
164,992,4,7890,1,1,1,3,Clientes Dormidos / En Riesgo,Tracey Hall,69,Male,0
165,169,6,14544,2,2,2,6,Leales y Activos,Kelly Harris,26,Male,0
166,357,9,29342,1,3,3,7,Leales y Activos,Philip Stewart,28,Male,0
167,468,4,8508,1,1,1,3,Clientes Dormidos / En Riesgo,Daniel Wilson,57,Female,0
169,176,8,15868,2,3,2,7,Leales y Activos,William Preston,21,Male,0
170,43,8,24385,3,3,3,9,Campeones / VIP,Christine Love,40,Female,0
171,429,1,4206,1,1,1,3,Clientes Dormidos / En Riesgo,Sandra Thomas,61,Male,1
172,451,6,10493,1,2,2,5,Leales y Activos,Gary Smith,41,Female,1
173,158,5,15597,2,2,2,6,Leales y Activos,Christopher Moore,66,Female,1
174,39,2,3347,3,1,1,5,Leales y Activos,Robert Terry,39,Female,0
175,224,4,10189,2,1,1,4,Clientes Dormidos / En Riesgo,Mitchell Ray MD,31,Female,0
176,16,7,13361,3,3,2,8,Campeones / VIP,Michael Brown,30,Female,1
177,91,4,12377,3,1,2,6,Leales y Activos,Manuel Thompson,27,Male,0
178,149,9,21604,2,3,3,8,Campeones / VIP,Paul Cox,35,Female,0
179,9,5,20456,3,2,3,8,Campeones / VIP,Jose Myers,29,Male,0
180,60,1,473,3,1,1,5,Leales y Activos,Charles Carter,55,Male,1
181,237,3,7779,2,1,1,4,Clientes Dormidos / En Riesgo,Courtney Burns,60,Female,0
182,33,7,17243,3,3,3,9,Campeones / VIP,Daniel Woodard,51,Male,0
183,262,3,5468,2,1,1,4,Clientes Dormidos / En Riesgo,April Townsend,23,Female,0
184,98,9,26985,3,3,3,9,Campeones / VIP,William Johnson,43,Male,0
185,168,9,24331,2,3,3,8,Campeones / VIP,Joseph Willis,19,Female,0
186,396,3,9097,1,1,1,3,Clientes Dormidos / En Riesgo,Donna Wade,32,Male,1
187,543,1,2670,1,1,1,3,Clientes Dormidos / En Riesgo,James Mendoza,39,Male,0
188,63,4,7701,3,1,1,5,Leales y Activos,Meghan Cole,32,Female,1
189,616,2,6569,1,1,1,3,Clientes Dormidos / En Riesgo,Bryan Green,69,Male,0
190,1076,1,4361,1,1,1,3,Clientes Dormidos / En Riesgo,Joshua Marks,47,Male,0
191,1143,2,4200,1,1,1,3,Clientes Dormidos / En Riesgo,Amanda Berry,32,Male,1
192,43,8,28832,3,3,3,9,Campeones / VIP,Isaac Chen,70,Male,1
193,82,5,12514,3,2,2,7,Leales y Activos,Diana Romero,26,Female,0
194,19,6,10066,3,2,1,6,Leales y Activos,Destiny Mccullough,63,Female,0
195,168,6,18840,2,2,3,7,Leales y Activos,Amber Graham,59,Female,1
196,441,5,13926,1,2,2,5,Leales y Activos,Juan Hill,18,Female,0
197,181,4,10354,2,1,2,5,Leales y Activos,Daryl Hull,19,Female,0
198,137,7,17553,2,3,3,8,Campeones / VIP,David Newman,55,Female,0
199,308,6,14136,1,2,2,5,Leales y Activos,Katherine Hodge,24,Female,1
200,97,8,20775,3,3,3,9,Campeones / VIP,Sarah Sanchez,56,Male,1
201,13,2,3149,3,1,1,5,Leales y Activos,Gabriella Wilson,38,Male,0
202,170,6,15209,2,2,2,6,Leales y Activos,Lori Carter,49,Female,0
203,436,3,6566,1,1,1,3,Clientes Dormidos / En Riesgo,Justin Bates,36,Female,0
204,76,12,29420,3,3,3,9,Campeones / VIP,Clinton Hunter,56,Male,0
205,146,11,23103,2,3,3,8,Campeones / VIP,Cameron Hale,60,Male,0
206,33,6,18103,3,2,3,8,Campeones / VIP,Rachel Weaver,25,Male,0
207,213,8,21171,2,3,3,8,Campeones / VIP,Scott Medina,46,Male,0
208,324,8,21596,1,3,3,7,Leales y Activos,Michael Rush,38,Male,1
209,5,7,17402,3,3,3,9,Campeones / VIP,Patricia Morrow,66,Male,0
210,19,7,19595,3,3,3,9,Campeones / VIP,Keith Lawson,37,Female,0
211,131,10,20362,2,3,3,8,Campeones / VIP,Lisa Hodges,19,Male,0
212,114,6,15762,2,2,2,6,Leales y Activos,Russell Tran,50,Male,0
213,301,6,10744,1,2,2,5,Leales y Activos,Ryan Martinez,64,Female,0
214,205,3,11660,2,1,2,5,Leales y Activos,Emma Kaiser,42,Female,0
215,378,4,11725,1,1,2,4,Clientes Dormidos / En Riesgo,David Price,64,Male,0
216,92,8,26535,3,3,3,9,Campeones / VIP,Mathew Carroll,47,Male,0
217,118,5,8551,2,2,1,5,Leales y Activos,Jonathan Nolan,25,Female,1
218,488,8,21620,1,3,3,7,Leales y Activos,Mindy Pollard,45,Male,0
219,17,6,13360,3,2,2,7,Leales y Activos,Christopher George,52,Male,0
220,207,4,7400,2,1,1,4,Clientes Dormidos / En Riesgo,Michele Jenkins,68,Female,1
221,258,6,21964,2,2,3,7,Leales y Activos,Carmen Hampton,18,Female,1
222,139,4,10799,2,1,2,5,Leales y Activos,Holly Pittman,31,Female,0
223,27,4,10202,3,1,2,6,Leales y Activos,Cody Rosales,67,Female,0
224,74,6,16799,3,2,3,8,Campeones / VIP,Jennifer Ward MD,65,Female,1
225,2,3,7280,3,1,1,5,Leales y Activos,Kelly Ruiz,50,Female,0
226,41,5,12910,3,2,2,7,Leales y Activos,Claire Harris,56,Female,0
227,311,4,9489,1,1,1,3,Clientes Dormidos / En Riesgo,Dr. Julie Castro,23,Female,0
228,128,4,7175,2,1,1,4,Clientes Dormidos / En Riesgo,Ronald Martinez,60,Male,0
229,329,6,18119,1,2,3,6,Leales y Activos,Richard Barron,26,Female,0
230,43,10,29553,3,3,3,9,Campeones / VIP,Douglas Moore,31,Female,0
231,277,6,15841,2,2,2,6,Leales y Activos,Thomas Johnson,35,Male,0
232,289,6,23483,2,2,3,7,Leales y Activos,Jerry Campbell,47,Male,0
233,383,5,15177,1,2,2,5,Leales y Activos,Christopher Williams,51,Female,0
234,64,4,7910,3,1,1,5,Leales y Activos,Kevin Barnes,48,Female,0
235,376,4,14572,1,1,2,4,Clientes Dormidos / En Riesgo,Cody Bullock,53,Male,1
236,87,10,22060,3,3,3,9,Campeones / VIP,Nicole Gray,27,Male,0
237,393,7,17112,1,3,3,7,Leales y Activos,Brian Brown,54,Female,0
238,26,8,25783,3,3,3,9,Campeones / VIP,Katherine Ryan,52,Male,0
239,239,7,20511,2,3,3,8,Campeones / VIP,Jason Garcia,57,Female,0
240,180,4,7011,2,1,1,4,Clientes Dormidos / En Riesgo,Kristen Robinson,29,Female,0
241,206,3,3491,2,1,1,4,Clientes Dormidos / En Riesgo,Monica White,41,Female,0
242,160,3,5090,2,1,1,4,Clientes Dormidos / En Riesgo,Carmen Wilson,57,Male,1
243,92,7,19370,3,3,3,9,Campeones / VIP,Jennifer Ramos,47,Female,0
244,303,7,15342,1,3,2,6,Leales y Activos,Haley Lewis,51,Female,0
245,654,3,7939,1,1,1,3,Clientes Dormidos / En Riesgo,Michael Holder,47,Male,1
246,114,3,11308,2,1,2,5,Leales y Activos,Alexander Herrera,57,Male,0
247,626,5,8715,1,2,1,4,Clientes Dormidos / En Riesgo,Raymond Bryant,20,Female,0
248,213,6,24306,2,2,3,7,Leales y Activos,Pamela Moss,51,Female,0
249,1205,1,2240,1,1,1,3,Clientes Dormidos / En Riesgo,Robyn West,62,Female,0
250,96,7,22091,3,3,3,9,Campeones / VIP,Katelyn Smith,43,Male,1
251,35,8,24661,3,3,3,9,Campeones / VIP,Christian Reed,68,Male,0
252,650,5,10043,1,2,1,4,Clientes Dormidos / En Riesgo,Zachary Hill,28,Male,0
253,46,8,23104,3,3,3,9,Campeones / VIP,Pamela Castro,23,Female,0
254,401,4,12119,1,1,2,4,Clientes Dormidos / En Riesgo,Theresa Pena,64,Male,0
255,659,5,12999,1,2,2,5,Leales y Activos,Jill Lane,61,Female,0
256,136,3,7389,2,1,1,4,Clientes Dormidos / En Riesgo,Eric Martin,57,Male,1
257,467,4,12211,1,1,2,4,Clientes Dormidos / En Riesgo,Christopher Campbell,49,Male,1
258,69,6,17437,3,2,3,8,Campeones / VIP,Kayla Whitaker,32,Female,0
259,189,4,17652,2,1,3,6,Leales y Activos,Gary White,70,Male,0
260,86,6,12523,3,2,2,7,Leales y Activos,Paul Mathews,41,Male,0
261,77,8,20949,3,3,3,9,Campeones / VIP,Elizabeth Davis,49,Male,1
262,139,8,22365,2,3,3,8,Campeones / VIP,Charles Morgan,70,Female,0
263,70,8,20142,3,3,3,9,Campeones / VIP,Brian Liu,38,Male,1
264,189,10,33074,2,3,3,8,Campeones / VIP,Laura Perez,69,Female,0
265,83,5,18780,3,2,3,8,Campeones / VIP,Trevor Evans,53,Female,0
266,38,7,10856,3,3,2,8,Campeones / VIP,Mrs. Heather Gibbs,31,Male,0
267,25,5,16595,3,2,3,8,Campeones / VIP,Cheryl Walters,64,Female,1
268,405,3,5628,1,1,1,3,Clientes Dormidos / En Riesgo,Steven Gonzalez,57,Male,0
269,183,7,21577,2,3,3,8,Campeones / VIP,Allison Wagner,57,Female,0
270,4,6,17030,3,2,3,8,Campeones / VIP,Jared Dixon,68,Female,1
271,55,5,19721,3,2,3,8,Campeones / VIP,Michael Willis,54,Male,1
272,540,3,8898,1,1,1,3,Clientes Dormidos / En Riesgo,William Adams,26,Male,0
273,220,6,16602,2,2,3,7,Leales y Activos,Angela Greene,68,Female,0
274,472,6,17449,1,2,3,6,Leales y Activos,Todd Bailey,26,Female,0
275,27,3,5288,3,1,1,5,Leales y Activos,Maria Jackson,70,Female,0
276,283,5,9196,2,2,1,5,Leales y Activos,Eric Ramos,28,Female,0
277,140,7,15709,2,3,2,7,Leales y Activos,Jason Williams,28,Male,0
278,5,10,31691,3,3,3,9,Campeones / VIP,Russell Sanchez,18,Female,0
279,349,4,5772,1,1,1,3,Clientes Dormidos / En Riesgo,Ricardo Watson,34,Female,0
280,372,5,6532,1,2,1,4,Clientes Dormidos / En Riesgo,George Thompson,40,Female,0
281,207,2,6795,2,1,1,4,Clientes Dormidos / En Riesgo,Aaron Moore,61,Male,0
282,107,8,26379,3,3,3,9,Campeones / VIP,Nicholas Higgins,62,Male,0
283,216,6,21425,2,2,3,7,Leales y Activos,Kenneth Hodges,38,Female,0
284,257,3,7773,2,1,1,4,Clientes Dormidos / En Riesgo,Stephen Shannon,68,Female,0
285,323,9,28106,1,3,3,7,Leales y Activos,Jennifer Thompson,35,Female,0
286,450,2,7637,1,1,1,3,Clientes Dormidos / En Riesgo,Shannon Benton,70,Male,0
287,887,1,2295,1,1,1,3,Clientes Dormidos / En Riesgo,Sarah Wallace,40,Female,1
288,80,5,16691,3,2,3,8,Campeones / VIP,Debra Ballard,33,Female,0
289,264,6,14827,2,2,2,6,Leales y Activos,Brian Simon,29,Male,1
290,350,4,10409,1,1,2,4,Clientes Dormidos / En Riesgo,Jessica Dominguez,36,Female,0
291,252,4,12458,2,1,2,5,Leales y Activos,Christina Juarez,32,Female,0
292,317,4,5470,1,1,1,3,Clientes Dormidos / En Riesgo,Douglas Howell,50,Female,0
293,106,5,13042,3,2,2,7,Leales y Activos,Danielle Padilla,51,Male,0
294,186,3,10651,2,1,2,5,Leales y Activos,Casey Rivera,20,Male,0
295,121,2,2904,2,1,1,4,Clientes Dormidos / En Riesgo,Steven Taylor,50,Male,0
296,567,6,16269,1,2,3,6,Leales y Activos,Heather Trujillo,37,Female,1
297,45,11,27103,3,3,3,9,Campeones / VIP,Kathleen Gray,57,Male,0
298,76,5,10434,3,2,2,7,Leales y Activos,Brandon Stewart,39,Male,0
299,512,5,17284,1,2,3,6,Leales y Activos,Brittany Wong,44,Female,0
300,129,6,11344,2,2,2,6,Leales y Activos,Nicole Garrison,25,Female,0
301,109,3,9117,3,1,1,5,Leales y Activos,Paul Ray,35,Female,1
302,45,7,19850,3,3,3,9,Campeones / VIP,Charles Moore,66,Female,0
303,169,4,14014,2,1,2,5,Leales y Activos,Anna Mathis,26,Male,1
304,141,7,16462,2,3,3,8,Campeones / VIP,Andrea Collins,49,Male,1
305,176,5,12211,2,2,2,6,Leales y Activos,Jason Smith,34,Male,1
306,435,4,11545,1,1,2,4,Clientes Dormidos / En Riesgo,James Turner,37,Female,0
307,864,1,4972,1,1,1,3,Clientes Dormidos / En Riesgo,Sara Reyes,30,Female,1
308,13,3,9405,3,1,1,5,Leales y Activos,William Davies,69,Female,0
309,335,3,7314,1,1,1,3,Clientes Dormidos / En Riesgo,Angela Young,68,Female,1
310,18,3,13092,3,1,2,6,Leales y Activos,Brenda King,37,Male,0
311,398,7,15544,1,3,2,6,Leales y Activos,Ian Valencia,37,Female,0
312,542,3,6864,1,1,1,3,Clientes Dormidos / En Riesgo,Martha Russell,68,Female,1
313,16,9,27974,3,3,3,9,Campeones / VIP,Robert Ryan,40,Female,0
314,74,4,9955,3,1,1,5,Leales y Activos,Holly Williams,31,Female,0
315,126,11,32676,2,3,3,8,Campeones / VIP,Justin Torres,26,Female,0
316,175,3,2748,2,1,1,4,Clientes Dormidos / En Riesgo,Thomas Wall,24,Female,0
317,334,3,14315,1,1,2,4,Clientes Dormidos / En Riesgo,Kevin Johnson,31,Female,0
318,104,9,25467,3,3,3,9,Campeones / VIP,Brian Cooper,55,Female,0
319,169,5,16758,2,2,3,7,Leales y Activos,Mrs. Jennifer Bowen,29,Male,0
320,95,5,12356,3,2,2,7,Leales y Activos,Alicia Sanchez,61,Male,0
321,670,4,8310,1,1,1,3,Clientes Dormidos / En Riesgo,Mary Molina,52,Female,1
322,299,5,16585,1,2,3,6,Leales y Activos,Paul Smith,68,Female,0
